Wall time,Step,Value
1542800652.862611,1617,0.4424305260181427
1542800653.122317,1628,0.41661134362220764
1542800653.382328,1639,0.42500579357147217
1542800653.643061,1650,0.44705039262771606
1542800653.912059,1661,0.4068877100944519
1542800654.172872,1672,0.40651053190231323
1542800654.432829,1683,0.39254817366600037
1542800654.6935,1694,0.46254897117614746
1542800654.953895,1705,0.4065624177455902
1542800655.213167,1716,0.5017404556274414
1542800655.474163,1727,0.3929312825202942
1542800655.734903,1738,0.42981386184692383
1542800655.995073,1749,0.4076312780380249
1542800656.255361,1760,0.42391687631607056
1542800656.523029,1771,0.35436227917671204
1542800656.785442,1782,0.3729775846004486
1542800657.047478,1793,0.4230475127696991
1542800657.308831,1804,0.36713269352912903
1542800657.568992,1815,0.5158511996269226
1542800657.828247,1826,0.4749596118927002
1542800658.088179,1837,0.4243658483028412
1542800658.348503,1848,0.36600297689437866
1542800658.608981,1859,0.29685041308403015
1542800658.868256,1870,0.3729642927646637
1542800659.135337,1881,0.31320279836654663
1542800659.395345,1892,0.33709052205085754
1542800659.655049,1903,0.4098719358444214
1542800659.914264,1914,0.5318385362625122
1542800660.172968,1925,0.5040097236633301
1542800660.432961,1936,0.37612611055374146
1542800660.692204,1947,0.4151652753353119
1542800660.95263,1958,0.3297160267829895
1542800661.211178,1969,0.3748345375061035
1542800661.470364,1980,0.2653725743293762
1542800661.73661,1991,0.4335106313228607
1542800662.124678,2002,0.3439589738845825
1542800662.386307,2013,0.48511117696762085
1542800662.646154,2024,0.3552851676940918
1542800662.907404,2035,0.3157922327518463
1542800663.167416,2046,0.29795122146606445
1542800663.428536,2057,0.30363205075263977
1542800663.688661,2068,0.32762446999549866
1542800663.948673,2079,0.3215169906616211
1542800664.209022,2090,0.2994717061519623
1542800664.476068,2101,0.33733826875686646
1542800664.735809,2112,0.3403623104095459
1542800664.994251,2123,0.37046366930007935
1542800665.253527,2134,0.3121997117996216
1542800665.513741,2145,0.36579346656799316
1542800665.773263,2156,0.3494884967803955
1542800666.032281,2167,0.31824591755867004
1542800666.291559,2178,0.3648204803466797
1542800666.551614,2189,0.27144065499305725
1542800666.811802,2200,0.27575433254241943
1542800667.079214,2211,0.4417968690395355
1542800667.339161,2222,0.4283192753791809
1542800667.599639,2233,0.3058628737926483
1542800667.858881,2244,0.2328435182571411
1542800668.118552,2255,0.3160504102706909
1542800668.378802,2266,0.24183177947998047
1542800668.638479,2277,0.2686416804790497
1542800668.897975,2288,0.1993691325187683
1542800669.156544,2299,0.2698865234851837
1542800669.417833,2310,0.2737732529640198
1542800669.685187,2321,0.2734372615814209
1542800669.944843,2332,0.22726576030254364
1542800670.204402,2343,0.34400755167007446
1542800670.463824,2354,0.3239649534225464
1542800670.722911,2365,0.2312058061361313
1542800670.982363,2376,0.3322288691997528
1542800671.24319,2387,0.2084706723690033
1542800671.503101,2398,0.12150666862726212
1542800671.763477,2409,0.2981735169887543
1542800672.022615,2420,0.23811161518096924
1542800672.290114,2431,0.25630539655685425
1542800672.550093,2442,0.3187943994998932
1542800672.810355,2453,0.22402004897594452
1542800673.071383,2464,0.17164507508277893
1542800673.330732,2475,0.16618585586547852
1542800673.590348,2486,0.2196330428123474
1542800673.849611,2497,0.26917001605033875
1542800674.10911,2508,0.1354844570159912
1542800674.369845,2519,0.20020738244056702
1542800674.629161,2530,0.33528727293014526
1542800674.897721,2541,0.20110850036144257
1542800675.157089,2552,0.3264037072658539
1542800675.416024,2563,0.2718054950237274
1542800675.676802,2574,0.38087204098701477
1542800675.936798,2585,0.3220880627632141
1542800676.195414,2596,0.18906377255916595
1542800676.454907,2607,0.19718441367149353
1542800676.714998,2618,0.2790067195892334
1542800676.973293,2629,0.1819349080324173
1542800677.233953,2640,0.32425457239151
1542800677.500477,2651,0.22705736756324768
1542800677.760916,2662,0.17254285514354706
1542800678.020668,2673,0.2260473519563675
1542800678.279679,2684,0.2198057770729065
1542800678.539286,2695,0.2884257733821869
1542800678.798262,2706,0.10703133791685104
1542800679.057413,2717,0.17861120402812958
1542800679.317171,2728,0.25991305708885193
1542800679.577106,2739,0.18184806406497955
1542800679.836635,2750,0.1908627301454544
1542800680.102337,2761,0.13027173280715942
1542800680.361749,2772,0.2736380994319916
1542800680.621168,2783,0.14254233241081238
1542800680.879787,2794,0.21217574179172516
1542800681.138498,2805,0.11378629505634308
1542800681.398701,2816,0.1745830774307251
1542800681.658441,2827,0.17302004992961884
1542800681.917021,2838,0.23301735520362854
1542800682.175457,2849,0.17070937156677246
1542800682.435788,2860,0.11999545246362686
1542800682.702336,2871,0.09461963921785355
1542800682.961452,2882,0.1827833503484726
1542800683.220595,2893,0.24733088910579681
1542800683.480336,2904,0.1398940086364746
1542800683.739147,2915,0.30374813079833984
1542800683.998051,2926,0.14707984030246735
1542800684.258213,2937,0.17017704248428345
1542800684.518076,2948,0.12705549597740173
1542800684.778296,2959,0.12833914160728455
1542800685.037946,2970,0.17596130073070526
1542800685.304503,2981,0.13240200281143188
1542800685.564332,2992,0.12515386939048767
1542800685.957818,3003,0.12334531545639038
1542800686.218792,3014,0.07610694319009781
1542800686.478829,3025,0.07481961697340012
1542800686.73937,3036,0.16507354378700256
1542800687.003393,3047,0.10707033425569534
1542800687.265339,3058,0.08520783483982086
1542800687.526749,3069,0.08274883031845093
1542800687.787235,3080,0.11536455154418945
1542800688.055279,3091,0.15875539183616638
1542800688.315712,3102,0.17083188891410828
1542800688.576879,3113,0.17904537916183472
1542800688.837087,3124,0.2576703727245331
1542800689.097454,3135,0.15719877183437347
1542800689.357957,3146,0.15567387640476227
1542800689.61835,3157,0.11203768104314804
1542800689.878333,3168,0.1074875071644783
1542800690.140986,3179,0.07060720771551132
1542800690.40137,3190,0.11725235730409622
1542800690.670984,3201,0.09337572753429413
1542800690.932002,3212,0.07291582971811295
1542800691.192982,3223,0.06961510330438614
1542800691.454792,3234,0.116597481071949
1542800691.715892,3245,0.14937321841716766
1542800691.975509,3256,0.08054347336292267
1542800692.236287,3267,0.10490768402814865
1542800692.498571,3278,0.08920030295848846
1542800692.758875,3289,0.14015574753284454
1542800693.019694,3300,0.1358780860900879
1542800693.288346,3311,0.08608987927436829
1542800693.549822,3322,0.11024495959281921
1542800693.810439,3333,0.12864618003368378
1542800694.07003,3344,0.09668659418821335
1542800694.33033,3355,0.1581246256828308
1542800694.593021,3366,0.06013130396604538
1542800694.8532,3377,0.07902757078409195
1542800695.114314,3388,0.16205951571464539
1542800695.37465,3399,0.06724342703819275
1542800695.636213,3410,0.07564768940210342
1542800695.903278,3421,0.11645889282226562
1542800696.163288,3432,0.07235562801361084
1542800696.425445,3443,0.08713001757860184
1542800696.686494,3454,0.10430939495563507
1542800696.948545,3465,0.11798122525215149
1542800697.208199,3476,0.12760452926158905
1542800697.469247,3487,0.08054147660732269
1542800697.731458,3498,0.06646112352609634
1542800697.993187,3509,0.10984596610069275
1542800698.255351,3520,0.04460837319493294
1542800698.524127,3531,0.09584067761898041
1542800698.786729,3542,0.09906356036663055
1542800699.048251,3553,0.07771439850330353
1542800699.308942,3564,0.03866395726799965
1542800699.57038,3575,0.07251815497875214
1542800699.834519,3586,0.09596037864685059
1542800700.098046,3597,0.09692072123289108
1542800700.360804,3608,0.09990831464529037
1542800700.622805,3619,0.08609163761138916
1542800700.883851,3630,0.06202700361609459
1542800701.153614,3641,0.074447400867939
1542800701.415389,3652,0.09645452350378036
1542800701.677578,3663,0.08696965873241425
1542800701.939603,3674,0.045533597469329834
1542800702.201858,3685,0.06427159905433655
1542800702.463509,3696,0.07863248884677887
1542800702.725281,3707,0.04413248226046562
1542800702.986775,3718,0.04568088427186012
1542800703.247854,3729,0.04224194586277008
1542800703.509061,3740,0.06942078471183777
1542800703.777444,3751,0.033580321818590164
1542800704.039012,3762,0.03788324445486069
1542800704.299501,3773,0.027278348803520203
1542800704.560908,3784,0.05455011874437332
1542800704.822036,3795,0.030460942536592484
1542800705.083659,3806,0.10399748384952545
1542800705.346325,3817,0.05007314682006836
1542800705.607548,3828,0.09779707342386246
1542800705.86903,3839,0.08346323668956757
1542800706.132395,3850,0.05347098782658577
1542800706.400951,3861,0.06596522033214569
1542800706.662193,3872,0.04929788038134575
1542800706.92391,3883,0.05365443229675293
1542800707.184103,3894,0.04365503787994385
1542800707.445356,3905,0.04330255091190338
1542800707.706104,3916,0.035169992595911026
1542800707.965745,3927,0.043060362339019775
1542800708.225989,3938,0.027261871844530106
1542800708.488167,3949,0.04535442218184471
1542800708.749226,3960,0.02330787107348442
1542800709.016586,3971,0.02249668911099434
1542800709.276881,3982,0.031588952988386154
1542800709.537513,3993,0.026086296886205673
1542800709.930074,4004,0.07435304671525955
1542800710.190964,4015,0.032137103378772736
1542800710.451906,4026,0.11422067880630493
1542800710.712644,4037,0.05270043760538101
1542800710.973318,4048,0.03442707657814026
1542800711.233951,4059,0.12528744339942932
1542800711.495194,4070,0.0550348162651062
1542800711.762688,4081,0.03903963416814804
1542800712.023154,4092,0.020394673570990562
1542800712.282299,4103,0.0427064523100853
1542800712.543854,4114,0.042007919400930405
1542800712.804151,4125,0.020048754289746284
1542800713.06383,4136,0.03869851306080818
1542800713.324178,4147,0.024541344493627548
1542800713.583133,4158,0.026180066168308258
1542800713.842848,4169,0.020968737080693245
1542800714.102508,4180,0.02375747263431549
1542800714.370483,4191,0.018912358209490776
1542800714.630091,4202,0.02214556187391281
1542800714.890698,4213,0.02076318860054016
1542800715.153724,4224,0.028206633403897285
1542800715.414024,4235,0.05325267091393471
1542800715.673713,4246,0.02502913400530815
1542800715.936174,4257,0.038500405848026276
1542800716.195928,4268,0.04129740223288536
1542800716.455487,4279,0.059600770473480225
1542800716.714988,4290,0.036219991743564606
1542800716.98255,4301,0.018969954922795296
1542800717.24242,4312,0.02886832319200039
1542800717.502025,4323,0.018532492220401764
1542800717.761105,4334,0.019176557660102844
1542800718.020707,4345,0.014424920082092285
1542800718.280166,4356,0.03135228902101517
1542800718.539084,4367,0.014025408774614334
1542800718.79854,4378,0.029986299574375153
1542800719.058074,4389,0.02320120297372341
1542800719.317079,4400,0.009298859164118767
1542800719.584243,4411,0.011228620074689388
1542800719.844732,4422,0.013633441179990768
1542800720.104044,4433,0.02176077663898468
1542800720.362747,4444,0.012047049589455128
1542800720.622508,4455,0.015067161992192268
1542800720.882755,4466,0.023808090016245842
1542800721.140888,4477,0.017045116052031517
1542800721.399904,4488,0.01919480226933956
1542800721.660042,4499,0.011021657846868038
1542800721.919322,4510,0.01822686195373535
1542800722.186495,4521,0.008063019253313541
1542800722.447086,4532,0.010194438509643078
1542800722.706523,4543,0.010231444612145424
1542800722.966805,4554,0.00934763252735138
1542800723.226409,4565,0.01556782890111208
1542800723.48506,4576,0.03767671436071396
1542800723.743891,4587,0.02328125573694706
1542800724.002179,4598,0.008382384665310383
1542800724.261503,4609,0.014144310727715492
1542800724.520825,4620,0.00760409701615572
1542800724.786899,4631,0.014734117314219475
1542800725.04581,4642,0.01208205334842205
1542800725.305202,4653,0.018662095069885254
1542800725.564636,4664,0.019877834245562553
1542800725.824938,4675,0.007490315940231085
1542800726.084691,4686,0.007113347761332989
1542800726.346021,4697,0.012363852001726627
1542800726.605143,4708,0.009283620864152908
1542800726.864438,4719,0.006501250900328159
1542800727.126152,4730,0.009885103441774845
1542800727.392732,4741,0.005731175187975168
1542800727.651632,4752,0.004799923859536648
1542800727.910666,4763,0.014082127250730991
1542800728.169982,4774,0.03150542452931404
1542800728.429459,4785,0.04734836518764496
1542800728.688657,4796,0.024610264226794243
1542800728.949633,4807,0.006918741390109062
1542800729.209955,4818,0.003822548780590296
1542800729.470578,4829,0.009006043896079063
1542800729.728918,4840,0.006478689610958099
1542800729.99567,4851,0.005203086417168379
1542800730.255247,4862,0.006159941665828228
1542800730.514204,4873,0.005075477063655853
1542800730.774596,4884,0.006470303051173687
1542800731.036569,4895,0.018300706520676613
1542800731.295656,4906,0.005284434650093317
1542800731.554994,4917,0.003618768882006407
1542800731.814205,4928,0.010637171566486359
1542800732.074483,4939,0.004006692674010992
1542800732.333428,4950,0.004370854236185551
1542800732.601164,4961,0.005468063522130251
1542800732.860476,4972,0.013560880906879902
1542800733.120861,4983,0.0318736806511879
1542800733.379685,4994,0.011308937333524227
1542800733.771093,5005,0.007728855591267347
1542800734.031094,5016,0.005523873493075371
1542800734.289508,5027,0.005963053088635206
1542800734.548559,5038,0.0033820397220551968
1542800734.808541,5049,0.0033548118080943823
1542800735.067783,5060,0.0028310867492109537
1542800735.334772,5071,0.007419941946864128
1542800735.594361,5082,0.008746571838855743
1542800735.855633,5093,0.01464375015348196
1542800736.114797,5104,0.0158375333994627
1542800736.375345,5115,0.01534176990389824
1542800736.635803,5126,0.0038591581396758556
1542800736.895079,5137,0.005217268131673336
1542800737.15489,5148,0.004168031271547079
1542800737.414643,5159,0.0059903813526034355
1542800737.674225,5170,0.007009338587522507
1542800737.940868,5181,0.00515045877546072
1542800738.200175,5192,0.0032142894342541695
1542800738.459489,5203,0.005145561415702105
1542800738.719307,5214,0.005845065228641033
1542800738.978914,5225,0.003900696989148855
1542800739.237709,5236,0.0019474521977826953
1542800739.49712,5247,0.0021827341988682747
1542800739.756513,5258,0.002366738859564066
1542800740.015343,5269,0.003070870181545615
1542800740.275072,5280,0.010516205802559853
1542800740.540895,5291,0.016689620912075043
1542800740.800059,5302,0.0070829312317073345
1542800741.058965,5313,0.002632689196616411
1542800741.317074,5324,0.0025398789439350367
1542800741.577849,5335,0.0039684404619038105
1542800741.83845,5346,0.004004251677542925
1542800742.098335,5357,0.002698066644370556
1542800742.35674,5368,0.0031347668264061213
1542800742.615589,5379,0.0015403414145112038
1542800742.875874,5390,0.0021976400166749954
1542800743.143214,5401,0.008503888733685017
1542800743.402962,5412,0.001988249132409692
1542800743.661249,5423,0.0021590355318039656
1542800743.921608,5434,0.0015331812901422381
1542800744.181278,5445,0.0017489041201770306
1542800744.44003,5456,0.0021131017711013556
1542800744.70029,5467,0.00112582603469491
1542800744.959833,5478,0.0021743597462773323
1542800745.219113,5489,0.002235874067991972
1542800745.478006,5500,0.002313383389264345
1542800745.745553,5511,0.003256762633100152
1542800746.004885,5522,0.007284889463335276
1542800746.263825,5533,0.0031858410220593214
1542800746.523844,5544,0.003934231586754322
1542800746.784155,5555,0.0019694389775395393
1542800747.045669,5566,0.002590953139588237
1542800747.305596,5577,0.001409334596246481
1542800747.564764,5588,0.0021105518098920584
1542800747.823364,5599,0.0016725168097764254
1542800748.082853,5610,0.0017736880108714104
1542800748.349093,5621,0.0011131790233775973
1542800748.608464,5632,0.0014919709647074342
1542800748.86824,5643,0.0014404691755771637
1542800749.127908,5654,0.0012590299593284726
1542800749.388399,5665,0.0011522405548021197
1542800749.64758,5676,0.001285593374632299
1542800749.907198,5687,0.0011881565442308784
1542800750.166281,5698,0.0009263737010769546
1542800750.426465,5709,0.0012299942318350077
1542800750.68589,5720,0.0020932178013026714
1542800750.953113,5731,0.001161824562586844
1542800751.212927,5742,0.0011352108558639884
1542800751.47251,5753,0.0008734021103009582
1542800751.731589,5764,0.0013259716797620058
1542800751.991057,5775,0.00046417186968028545
1542800752.250834,5786,0.0014269545208662748
1542800752.510445,5797,0.001304365461692214
1542800752.770308,5808,0.0012948777293786407
1542800753.030459,5819,0.001177372643724084
1542800753.28972,5830,0.0006970957620069385
1542800753.555968,5841,0.0010333106620237231
1542800753.814868,5852,0.0012777323136106133
1542800754.074849,5863,0.0013487058458849788
1542800754.335686,5874,0.0012273467145860195
1542800754.595276,5885,0.0011217318242415786
1542800754.855196,5896,0.0010382879991084337
1542800755.113984,5907,0.0011154365492984653
1542800755.373389,5918,0.0038734227418899536
1542800755.633837,5929,0.0009844835149124265
1542800755.893546,5940,0.000950273300986737
1542800756.160538,5951,0.0009248530841432512
1542800756.420456,5962,0.0007135937339626253
1542800756.678756,5973,0.0005470946780405939
1542800756.939378,5984,0.0008654106059111655
1542800757.198733,5995,0.0009443510789424181
1542800757.590087,6006,0.0011361947981640697
1542800757.849712,6017,0.00081495480844751
1542800758.109741,6028,0.0007601127726957202
1542800758.36892,6039,0.0006950633251108229
1542800758.627748,6050,0.0011743595823645592
1542800758.896057,6061,0.00127039582002908
1542800759.154901,6072,0.0007517026388086379
1542800759.413646,6083,0.0007548955618403852
1542800759.672747,6094,0.001468416303396225
1542800759.93186,6105,0.0008381327497772872
1542800760.191274,6116,0.0007202373235486448
1542800760.45052,6127,0.0005619344883598387
1542800760.7103,6138,0.0008788075065240264
1542800760.969967,6149,0.0007311225053854287
1542800761.229392,6160,0.00045070983469486237
1542800761.497908,6171,0.0009940611198544502
1542800761.757241,6182,0.0005073811626061797
1542800762.017508,6193,0.0005175179685465991
1542800762.277046,6204,0.0008335891179740429
1542800762.538449,6215,0.0006537287263199687
1542800762.798441,6226,0.0006659489590674639
1542800763.057559,6237,0.0006269365549087524
1542800763.316721,6248,0.0005158238927833736
1542800763.576377,6259,0.001032825792208314
1542800763.835704,6270,0.0007580650853924453
1542800764.102682,6281,0.0009532455005683005
1542800764.362274,6292,0.0007667015888728201
1542800764.621499,6303,0.0007452102727256715
1542800764.881081,6314,0.0007831165567040443
1542800765.140315,6325,0.0010367691284045577
1542800765.398915,6336,0.001956262858584523
1542800765.658351,6347,0.000622351246420294
1542800765.917159,6358,0.00048728962428867817
1542800766.176261,6369,0.000660696707200259
1542800766.436144,6380,0.0005795798497274518
1542800766.702977,6391,0.00077707355376333
1542800766.963915,6402,0.0006905216141603887
1542800767.224811,6413,0.0005276247393339872
1542800767.483282,6424,0.0008377779740840197
1542800767.742787,6435,0.0006321683176793158
1542800768.002555,6446,0.0005543424631468952
1542800768.261234,6457,0.0006936021381989121
1542800768.520613,6468,0.0004230976919643581
1542800768.780007,6479,0.0005950735649093986
1542800769.039352,6490,0.0006667338311672211
1542800769.305627,6501,0.0005783221567980945
1542800769.565734,6512,0.0006066798232495785
1542800769.825161,6523,0.0008130327332764864
1542800770.085478,6534,0.0006088368245400488
1542800770.34462,6545,0.0005141068249940872
1542800770.602862,6556,0.00023694720584899187
1542800770.863255,6567,0.0005655257264152169
1542800771.123327,6578,0.0007112413877621293
1542800771.383736,6589,0.0004364643828012049
1542800771.643535,6600,0.0003446258488111198
1542800771.910524,6611,0.00044454727321863174
1542800772.170177,6622,0.0004335381672717631
1542800772.42917,6633,0.0005419272347353399
1542800772.688846,6644,0.0008544027805328369
1542800772.948273,6655,0.0007013142458163202
1542800773.207062,6666,0.0005453043850138783
1542800773.466968,6677,0.0006108759553171694
1542800773.727263,6688,0.0006753504858352244
1542800773.986866,6699,0.0004890954587608576
1542800774.245983,6710,0.00051014160271734
1542800774.511855,6721,0.0007084905519150198
1542800774.769886,6732,0.00047486653784289956
1542800775.029754,6743,0.0005802212399430573
1542800775.288411,6754,0.0003645840915851295
1542800775.548135,6765,0.0006594363367184997
1542800775.808217,6776,0.00033459989936091006
1542800776.067094,6787,0.0006038118153810501
1542800776.327294,6798,0.0004563481197692454
1542800776.587253,6809,0.0005232106195762753
1542800776.84661,6820,0.0004114516777917743
1542800777.115317,6831,0.00042812863830477
1542800777.375792,6842,0.0007147137657739222
1542800777.635027,6853,0.0005286757368594408
1542800777.893519,6864,0.0005168344359844923
1542800778.152813,6875,0.0007291196961887181
1542800778.412235,6886,0.00042145734187215567
1542800778.671685,6897,0.000372801412595436
1542800778.932253,6908,0.0003521979961078614
1542800779.191824,6919,0.0005838963552378118
1542800779.451152,6930,0.0004500565701164305
1542800779.717131,6941,0.00031040445901453495
1542800779.976685,6952,0.0008317710598930717
1542800780.23714,6963,0.00038678679266013205
1542800780.496219,6974,0.00037157628685235977
1542800780.756159,6985,0.00044794497080147266
1542800781.017079,6996,0.0005265910876914859
1542800781.408454,7007,0.000516015978064388
1542800781.668032,7018,0.0003686996642500162
1542800781.92711,7029,0.0003730406751856208
1542800782.186707,7040,0.0005168400821276009
1542800782.454048,7051,0.00040250105666927993
1542800782.713547,7062,0.0004307815106585622
1542800782.973601,7073,0.0006547519005835056
1542800783.23303,7084,0.0004416490555740893
1542800783.492643,7095,0.0003672515449579805
1542800783.752897,7106,0.0005027000443078578
1542800784.013701,7117,0.0005156067200005054
1542800784.272646,7128,0.000460617447970435
1542800784.53139,7139,0.0003422948648221791
1542800784.791957,7150,0.0004420502809807658
1542800785.058345,7161,0.0003854611422866583
1542800785.317592,7172,0.00047825498040765524
1542800785.576989,7183,0.000417780305724591
1542800785.836695,7194,0.0002490127517376095
1542800786.096125,7205,0.0006193279987201095
1542800786.356217,7216,0.0003547828528098762
1542800786.615716,7227,0.00040126178646460176
1542800786.879442,7238,0.0003610575804486871
1542800787.138399,7249,0.0003937102446798235
1542800787.398045,7260,0.00028014866984449327
1542800787.664746,7271,0.00045093902735970914
1542800787.923919,7282,0.0004895323654636741
1542800788.183521,7293,0.0004151039174757898
1542800788.442095,7304,0.0005437646759673953
1542800788.701583,7315,0.00039576576091349125
1542800788.9616,7326,0.0003520470636431128
1542800789.219468,7337,0.0002630561066325754
1542800789.478827,7348,0.0003764007124118507
1542800789.738667,7359,0.00044971713214181364
1542800789.998367,7370,0.0004021056811325252
1542800790.266154,7381,0.00017636283882893622
1542800790.525859,7392,0.0003267351712565869
1542800790.784162,7403,0.00027505229809321463
1542800791.044034,7414,0.00030033671646378934
1542800791.303581,7425,0.0006203774246387184
1542800791.562728,7436,0.0005103999865241349
1542800791.822545,7447,0.0003618718183133751
1542800792.082086,7458,0.0003428164345677942
1542800792.341659,7469,0.00029089939198456705
1542800792.601234,7480,0.0003522869083099067
1542800792.867147,7491,0.0004339585721027106
1542800793.126227,7502,0.00036220686160959303
1542800793.385079,7513,0.00031507317908108234
1542800793.643821,7524,0.00030239488114602864
1542800793.902751,7535,0.0001872386783361435
1542800794.162979,7546,0.00028838482103310525
1542800794.421711,7557,0.0002611891832202673
1542800794.68147,7568,0.000329726142808795
1542800794.941413,7579,0.00026346207596361637
1542800795.199918,7590,0.00036516727413982153
1542800795.466164,7601,0.00028609950095415115
1542800795.724695,7612,0.00025637634098529816
1542800795.984291,7623,0.0003999618929810822
1542800796.242919,7634,0.00034087453968822956
