Wall time,Step,Value
1542799421.163039,0,4104.8818359375
1542799421.384006,11,1323.728759765625
1542799421.477658,22,979.5103149414062
1542799421.568365,33,701.766357421875
1542799421.659275,44,682.3621826171875
1542799421.750075,55,619.919189453125
1542799421.84087,66,537.9415283203125
1542799421.930264,77,500.678955078125
1542799422.020487,88,351.108642578125
1542799422.110585,99,393.77978515625
1542799422.200925,110,456.8970642089844
1542799422.293818,121,447.60626220703125
1542799422.382288,132,372.70068359375
1542799422.472367,143,352.03424072265625
1542799422.561505,154,354.275390625
1542799422.651508,165,360.27484130859375
1542799422.741745,176,285.80059814453125
1542799422.832029,187,303.80926513671875
1542799422.920996,198,295.0537109375
1542799423.012344,209,328.8155212402344
1542799423.101408,220,303.93634033203125
1542799423.193584,231,307.5274658203125
1542799423.283678,242,334.373779296875
1542799423.3728,253,275.28240966796875
1542799423.462482,264,308.8817138671875
1542799423.552495,275,307.1145935058594
1542799423.64187,286,271.86029052734375
1542799423.731977,297,264.4833068847656
1542799423.821775,308,231.0006561279297
1542799423.9119,319,247.97613525390625
1542799424.002358,330,239.85137939453125
1542799424.094631,341,280.42376708984375
1542799424.184037,352,190.18692016601562
1542799424.273777,363,258.84075927734375
1542799424.363886,374,216.6401824951172
1542799424.454138,385,241.24899291992188
1542799424.544503,396,230.59043884277344
1542799424.633638,407,190.45419311523438
1542799424.723337,418,186.4177703857422
1542799424.813554,429,185.36666870117188
1542799424.903969,440,184.46371459960938
1542799424.996264,451,180.67214965820312
1542799425.086528,462,213.62060546875
1542799425.175888,473,149.3955078125
1542799425.265596,484,211.9309844970703
1542799425.354405,495,196.7832489013672
1542799425.442931,506,149.24786376953125
1542799425.53143,517,188.11196899414062
1542799425.618803,528,173.73037719726562
1542799425.707283,539,179.22116088867188
1542799425.795526,550,168.21365356445312
1542799425.88659,561,173.37789916992188
1542799425.975283,572,186.692138671875
1542799426.064047,583,161.19805908203125
1542799426.151938,594,161.3353729248047
1542799426.241221,605,133.4365234375
1542799426.329987,616,164.47036743164062
1542799426.420392,627,148.58001708984375
1542799426.509309,638,170.97628784179688
1542799426.598221,649,167.76280212402344
1542799426.688159,660,136.69424438476562
1542799426.780517,671,119.22095489501953
1542799426.868939,682,152.70059204101562
1542799426.95933,693,157.19644165039062
1542799427.048016,704,159.4974822998047
1542799427.137679,715,150.96902465820312
1542799427.227623,726,165.14483642578125
1542799427.316258,737,130.15122985839844
1542799427.405843,748,134.52984619140625
1542799427.495055,759,117.91716003417969
1542799427.583811,770,139.08792114257812
1542799427.67595,781,128.2427978515625
1542799427.765586,792,130.36248779296875
1542799427.853895,803,136.6229705810547
1542799427.943855,814,111.51600646972656
1542799428.032888,825,84.89807891845703
1542799428.121992,836,137.30712890625
1542799428.211191,847,119.49860382080078
1542799428.301124,858,112.02567291259766
1542799428.39014,869,98.8544692993164
1542799428.478247,880,125.29501342773438
1542799428.570105,891,101.58511352539062
1542799428.659139,902,102.12532043457031
1542799428.747868,913,112.23445129394531
1542799428.835446,924,101.36967468261719
1542799428.923799,935,113.64306640625
1542799429.013883,946,113.51911926269531
1542799429.104142,957,69.58355712890625
1542799429.192744,968,110.0780029296875
1542799429.282695,979,84.7380599975586
1542799429.371869,990,79.78727722167969
1542799429.581637,1001,93.52142333984375
1542799429.672302,1012,88.89081573486328
1542799429.762049,1023,114.76512908935547
1542799429.850875,1034,87.80513763427734
1542799429.940735,1045,95.19190979003906
1542799430.030439,1056,104.4991455078125
1542799430.120999,1067,99.17024230957031
1542799430.211256,1078,85.98828125
1542799430.300966,1089,85.51387786865234
1542799430.391217,1100,90.25933074951172
1542799430.484046,1111,108.1055908203125
1542799430.572527,1122,92.83851623535156
1542799430.664447,1133,76.18914031982422
1542799430.753188,1144,114.93562316894531
1542799430.845402,1155,77.9265365600586
1542799430.933789,1166,92.50453186035156
1542799431.02375,1177,106.67945861816406
1542799431.113309,1188,90.20940399169922
1542799431.204326,1199,72.54460144042969
1542799431.294903,1210,65.89726257324219
1542799431.386126,1221,83.50732421875
1542799431.476304,1232,100.3663558959961
1542799431.565674,1243,99.823974609375
1542799431.655008,1254,69.58004760742188
1542799431.745543,1265,88.25271606445312
1542799431.835811,1276,89.70713806152344
1542799431.925314,1287,79.70439147949219
1542799432.016337,1298,92.03602600097656
1542799432.106502,1309,99.07823944091797
1542799432.196837,1320,81.27992248535156
1542799432.289509,1331,72.77920532226562
1542799432.379199,1342,70.79723358154297
1542799432.468394,1353,85.23040008544922
1542799432.558152,1364,85.52291107177734
1542799432.648196,1375,88.57125091552734
1542799432.73783,1386,73.646728515625
1542799432.827432,1397,83.8920669555664
1542799432.916794,1408,81.40826416015625
1542799433.005933,1419,86.79254150390625
1542799433.09584,1430,64.93968200683594
1542799433.187946,1441,77.80014038085938
1542799433.276605,1452,59.31670379638672
1542799433.365944,1463,66.52217102050781
1542799433.454803,1474,68.56596374511719
1542799433.543306,1485,76.67803955078125
1542799433.633033,1496,68.30280303955078
1542799433.722011,1507,72.81856536865234
1542799433.812579,1518,68.91775512695312
1542799433.902117,1529,66.37657928466797
1542799433.991141,1540,58.727325439453125
1542799434.083299,1551,68.20990753173828
1542799434.173073,1562,64.20160675048828
1542799434.263359,1573,55.161163330078125
1542799434.35193,1584,69.03901672363281
1542799434.440475,1595,62.58795928955078
1542799434.529139,1606,46.09554672241211
1542799434.617561,1617,79.6090316772461
1542799434.706441,1628,53.31332015991211
1542799434.794817,1639,49.62369155883789
1542799434.883102,1650,63.726436614990234
1542799434.974863,1661,58.78083038330078
1542799435.063928,1672,55.56215286254883
1542799435.154096,1683,54.365211486816406
1542799435.244539,1694,59.59734344482422
1542799435.33416,1705,47.6309814453125
1542799435.425391,1716,65.6473159790039
1542799435.514779,1727,62.837913513183594
1542799435.603178,1738,41.16133117675781
1542799435.692232,1749,60.82238006591797
1542799435.782517,1760,50.5777473449707
1542799435.87418,1771,45.06108093261719
