Wall time,Step,Value
1541422498.62701,0,4796.82080078125
1541422498.8439,11,1065.12109375
1541422498.938074,22,939.3976440429688
1541422499.031172,33,748.1240234375
1541422499.121733,44,639.67236328125
1541422499.212134,55,481.1396179199219
1541422499.301988,66,596.3505859375
1541422499.392942,77,417.1868896484375
1541422499.483095,88,424.69976806640625
1541422499.573005,99,360.504150390625
1541422499.662948,110,375.2427673339844
1541422499.753923,121,385.7877197265625
1541422499.843808,132,352.27642822265625
1541422499.932826,143,385.6904602050781
1541422500.022148,154,277.9530029296875
1541422500.111388,165,302.47283935546875
1541422500.200705,176,287.0577697753906
1541422500.291068,187,233.00555419921875
1541422500.379995,198,336.2064208984375
1541422500.469643,209,291.40899658203125
1541422500.558477,220,259.13214111328125
1541422500.64969,231,257.82598876953125
1541422500.739296,242,263.21612548828125
1541422500.827638,253,245.80218505859375
1541422500.917844,264,245.9137725830078
1541422501.006663,275,200.13482666015625
1541422501.095008,286,236.25230407714844
1541422501.183407,297,235.39154052734375
1541422501.272816,308,264.55029296875
1541422501.362124,319,197.55807495117188
1541422501.452031,330,160.04200744628906
1541422501.543467,341,241.982666015625
1541422501.632077,352,203.5229949951172
1541422502.116625,363,221.84796142578125
1541422502.208256,374,157.052978515625
1541422502.49676,385,179.11587524414062
1541422502.586194,396,169.6079864501953
1541422502.67377,407,207.0618896484375
1541422502.76193,418,173.42974853515625
1541422502.851275,429,221.56759643554688
1541422502.940571,440,159.59426879882812
1541422503.032582,451,187.7641143798828
1541422503.122284,462,180.5719757080078
1541422503.211648,473,158.4390106201172
1541422503.301014,484,155.8879852294922
1541422503.389394,495,133.1487579345703
1541422503.478425,506,156.2192840576172
1541422503.568488,517,168.63540649414062
1541422503.658978,528,143.88169860839844
1541422503.748161,539,122.9287338256836
1541422503.837329,550,161.44113159179688
1541422503.928446,561,111.77633666992188
1541422504.01859,572,128.9993896484375
1541422504.105832,583,175.87428283691406
1541422504.193904,594,123.6700668334961
1541422504.284299,605,144.9975128173828
1541422504.377206,616,135.78399658203125
1541422504.466461,627,140.7696075439453
1541422504.555267,638,111.61134338378906
1541422504.644353,649,130.60122680664062
1541422504.732695,660,118.65580749511719
1541422504.823722,671,129.39883422851562
1541422504.913899,682,131.96224975585938
1541422505.003192,693,91.86209869384766
1541422505.092831,704,121.95674133300781
1541422505.183148,715,122.31791687011719
1541422505.272871,726,121.88381958007812
1541422505.360818,737,97.73420715332031
1541422505.448534,748,135.62405395507812
1541422505.53811,759,107.49443054199219
1541422505.62773,770,95.66062927246094
1541422505.720628,781,93.45796203613281
1541422505.811706,792,89.97233581542969
1541422505.9009,803,123.85452270507812
1541422505.989453,814,102.74684143066406
1541422506.079522,825,100.2967529296875
1541422506.167443,836,84.5538330078125
1541422506.257608,847,117.15506744384766
1541422506.347506,858,89.0567626953125
1541422506.439516,869,118.21133422851562
1541422506.528885,880,86.48638916015625
1541422506.622111,891,88.24886322021484
1541422506.712058,902,80.358154296875
1541422506.801306,913,101.84818267822266
1541422506.891595,924,98.51788330078125
1541422506.986766,935,103.15131378173828
1541422507.077592,946,92.64761352539062
1541422507.169387,957,83.32431030273438
1541422507.25872,968,81.07106018066406
1541422507.348244,979,74.4351806640625
1541422507.436478,990,80.34843444824219
1541422507.65881,1001,84.90577697753906
1541422507.748534,1012,83.60319519042969
1541422507.837411,1023,92.12371826171875
1541422507.926507,1034,71.66572570800781
1541422508.015737,1045,63.95253372192383
1541422508.104625,1056,85.89413452148438
1541422508.192985,1067,62.615684509277344
1541422508.282131,1078,72.15812683105469
1541422508.370362,1089,80.43128967285156
1541422508.458616,1100,73.51007080078125
1541422508.551282,1111,76.25907135009766
1541422508.639351,1122,88.74319458007812
1541422508.728876,1133,68.36482238769531
1541422508.818207,1144,70.94032287597656
1541422508.906959,1155,61.27961349487305
1541422508.995318,1166,72.0862808227539
1541422509.084304,1177,57.97515869140625
1541422509.173398,1188,77.76077270507812
1541422509.262244,1199,55.73792266845703
1541422509.35138,1210,84.29740142822266
1541422509.4428,1221,69.22314453125
1541422509.531413,1232,79.36552429199219
1541422509.620441,1243,67.03031921386719
1541422509.708537,1254,66.32044219970703
1541422509.798354,1265,56.65339660644531
1541422509.888041,1276,58.12127685546875
1541422509.976822,1287,64.4149169921875
1541422510.066485,1298,72.12415313720703
1541422510.155219,1309,44.852317810058594
1541422510.24359,1320,60.63764190673828
1541422510.33549,1331,69.81651306152344
1541422510.424595,1342,56.945804595947266
1541422510.513186,1353,48.25922393798828
1541422510.601874,1364,66.09040832519531
1541422510.690979,1375,53.64833068847656
1541422510.781042,1386,54.28094482421875
1541422510.869906,1397,51.17472839355469
1541422510.959004,1408,72.5474624633789
1541422511.048017,1419,52.76643753051758
1541422511.137109,1430,61.3609619140625
1541422511.229251,1441,62.666595458984375
1541422511.318535,1452,55.488121032714844
1541422511.409862,1463,58.61219787597656
1541422511.499411,1474,39.487815856933594
1541422511.589026,1485,62.72358703613281
1541422511.818868,1496,57.575382232666016
1541422512.124547,1507,56.893089294433594
1541422512.295075,1518,48.752349853515625
1541422512.516597,1529,62.28702163696289
1541422512.604624,1540,51.865234375
1541422512.695566,1551,55.75294876098633
1541422512.783385,1562,45.058685302734375
1541422512.871674,1573,45.987144470214844
1541422512.958935,1584,58.667423248291016
1541422513.04727,1595,58.603614807128906
1541422513.134513,1606,51.31865692138672
1541422513.221964,1617,45.2873420715332
1541422513.310292,1628,61.81937789916992
1541422513.398833,1639,45.056068420410156
1541422513.486668,1650,57.548423767089844
1541422513.577808,1661,41.66379165649414
1541422513.665552,1672,46.34618377685547
1541422513.753235,1683,47.37006759643555
1541422513.842106,1694,59.50701904296875
1541422513.930588,1705,49.23121643066406
1541422514.018368,1716,59.40163040161133
1541422514.107487,1727,56.35653305053711
1541422514.195856,1738,43.645015716552734
1541422514.285097,1749,43.51887512207031
1541422514.373802,1760,47.700565338134766
1541422514.465605,1771,38.65140151977539
1541422514.554142,1782,32.26381301879883
1541422514.643306,1793,39.62470245361328
1541422514.732312,1804,50.787574768066406
1541422514.823034,1815,44.45060348510742
1541422514.910771,1826,31.642223358154297
1541422515.000398,1837,45.132118225097656
1541422515.089299,1848,46.04339599609375
1541422515.177896,1859,37.7588005065918
1541422515.266638,1870,44.280845642089844
1541422515.358999,1881,33.831485748291016
1541422515.44744,1892,42.7859001159668
1541422515.536339,1903,50.27234649658203
1541422515.625003,1914,43.141578674316406
1541422515.714366,1925,28.388355255126953
1541422515.805057,1936,42.542362213134766
1541422515.895378,1947,37.107879638671875
1541422515.98549,1958,39.198280334472656
1541422516.074543,1969,44.841575622558594
1541422516.16382,1980,31.58199691772461
1541422516.256648,1991,38.261444091796875
1541422516.470249,2002,41.475799560546875
1541422516.561012,2013,41.165061950683594
1541422516.65057,2024,29.993770599365234
