Wall time,Step,Value
1540210257.10215,1020,0.2890625
1540210257.185226,1030,0.25
1540210257.270348,1040,0.28125
1540210257.353593,1050,0.3359375
1540210257.437668,1060,0.3046875
1540210257.520828,1070,0.3046875
1540210257.604062,1080,0.3671875
1540210257.686429,1090,0.3203125
1540210257.769812,1100,0.28125
1540210257.852264,1110,0.3203125
1540210257.935618,1120,0.265625
1540210258.019913,1130,0.265625
1540210258.104518,1140,0.2890625
1540210258.188142,1150,0.234375
1540210258.273161,1160,0.3125
1540210258.357257,1170,0.328125
1540210258.443003,1180,0.40625
1540210258.527782,1190,0.2890625
1540210258.612507,1200,0.21875
1540210258.697404,1210,0.296875
1540210258.78158,1220,0.2578125
1540210258.866971,1230,0.234375
1540210258.95266,1240,0.3828125
1540210259.036168,1250,0.359375
1540210259.121272,1260,0.2421875
1540210259.209756,1270,0.34375
1540210259.294128,1280,0.2421875
1540210259.379008,1290,0.2265625
1540210259.463113,1300,0.3671875
1540210259.546749,1310,0.3046875
1540210259.631001,1320,0.296875
1540210259.71637,1330,0.4140625
1540210259.800901,1340,0.421875
1540210259.886498,1350,0.296875
1540210259.97079,1360,0.2734375
1540210260.055227,1370,0.3359375
1540210260.139349,1380,0.2890625
1540210260.225864,1390,0.296875
1540210260.310623,1400,0.25
1540210260.39506,1410,0.34375
1540210260.480059,1420,0.265625
1540210260.564492,1430,0.3046875
1540210260.647881,1440,0.3515625
1540210260.732568,1450,0.328125
1540210260.816955,1460,0.3203125
1540210260.903948,1470,0.375
1540210260.990005,1480,0.296875
1540210261.074714,1490,0.2578125
1540210261.159597,1500,0.3515625
1540210261.245139,1510,0.34375
1540210261.330782,1520,0.3671875
1540210261.415915,1530,0.3671875
1540210261.50057,1540,0.234375
1540210261.58419,1550,0.296875
1540210261.668393,1560,0.296875
1540210261.753273,1570,0.265625
1540210261.837946,1580,0.34375
1540210261.923253,1590,0.265625
1540210262.008009,1600,0.3203125
1540210262.092415,1610,0.3359375
1540210262.178125,1620,0.25
1540210262.262977,1630,0.34375
1540210262.348246,1640,0.328125
1540210262.432842,1650,0.28125
